day,meal,item,weather,event,demand
Monday,Breakfast,Idli,Cloudy,Festival,205
Sunday,Dinner,Rice,Cold,Sports Meet,236
Saturday,Dinner,Biryani,Sunny,Sports Meet,293
Sunday,Lunch,Noodles,Cold,Festival,212
Wednesday,Dinner,Chapati,Cloudy,No,96
Monday,Lunch,Rice,Cloudy,No,114
Sunday,Dinner,Rice,Cold,Exam,102
Sunday,Breakfast,Idli,Cold,No,85
Thursday,Dinner,Rice,Sunny,Holiday,79
Thursday,Snacks,Noodles,Cloudy,Holiday,79
Friday,Lunch,Biryani,Cloudy,Sports Meet,276
Wednesday,Dinner,Rice,Rainy,Sports Meet,199
Sunday,Breakfast,Idli,Rainy,No,96
Monday,Dinner,Rice,Cloudy,Holiday,91
Tuesday,Dinner,Biryani,Sunny,No,224
Tuesday,Dinner,Biryani,Cold,No,138
Tuesday,Lunch,Rice,Rainy,No,89
Monday,Snacks,Puff,Cloudy,Exam,58
Friday,Lunch,Chapati,Sunny,Festival,173
Wednesday,Breakfast,Idli,Rainy,Sports Meet,200
Tuesday,Lunch,Noodles,Cold,Festival,186
Monday,Breakfast,Idli,Cold,Exam,117
Friday,Snacks,Samosa,Sunny,Sports Meet,251
Sunday,Lunch,Rice,Cold,No,129
Saturday,Snacks,Samosa,Cloudy,No,172
Monday,Dinner,Noodles,Rainy,Sports Meet,187
Tuesday,Lunch,Noodles,Cold,No,103
Wednesday,Dinner,Rice,Cloudy,Holiday,101
Monday,Lunch,Chapati,Cold,Sports Meet,128
Friday,Dinner,Rice,Cold,Sports Meet,188
Wednesday,Snacks,Samosa,Cloudy,Festival,219
Sunday,Breakfast,Sandwich,Cloudy,No,109
Tuesday,Snacks,Samosa,Rainy,Exam,189
Saturday,Lunch,Biryani,Sunny,Festival,280
Thursday,Dinner,Noodles,Cloudy,Sports Meet,213
Thursday,Lunch,Biryani,Rainy,Festival,221
Sunday,Lunch,Rice,Cold,Holiday,177
Tuesday,Breakfast,Idli,Rainy,Holiday,163
Friday,Dinner,Biryani,Cold,Festival,244
Friday,Breakfast,Sandwich,Cloudy,Exam,103
Thursday,Breakfast,Sandwich,Cloudy,Holiday,147
Sunday,Dinner,Biryani,Rainy,Sports Meet,330
Sunday,Lunch,Biryani,Sunny,Exam,185
Saturday,Breakfast,Sandwich,Cloudy,Sports Meet,241
Monday,Snacks,Noodles,Rainy,Sports Meet,190
Wednesday,Lunch,Chapati,Cloudy,Exam,67
Tuesday,Breakfast,Idli,Sunny,Sports Meet,218
Friday,Snacks,Noodles,Cloudy,Festival,216
Monday,Snacks,Noodles,Cold,No,159
Tuesday,Breakfast,Dosa,Cold,Holiday,159
Saturday,Lunch,Chapati,Cold,Festival,188
Tuesday,Snacks,Samosa,Cloudy,No,189
Friday,Breakfast,Idli,Cold,Exam,77
Thursday,Snacks,Puff,Cold,Exam,99
Tuesday,Snacks,Samosa,Cold,No,217
Thursday,Lunch,Biryani,Cold,No,145
Wednesday,Snacks,Noodles,Sunny,Festival,189
Monday,Snacks,Puff,Cold,Festival,220
Sunday,Dinner,Biryani,Cold,Holiday,151
Tuesday,Snacks,Puff,Rainy,Holiday,134
Sunday,Dinner,Noodles,Sunny,Festival,272
Wednesday,Dinner,Noodles,Rainy,Holiday,73
Wednesday,Lunch,Chapati,Sunny,Holiday,153
Saturday,Dinner,Biryani,Cloudy,Sports Meet,290
Thursday,Breakfast,Sandwich,Cold,Holiday,126
Thursday,Lunch,Noodles,Sunny,No,159
Thursday,Breakfast,Sandwich,Sunny,No,152
Saturday,Breakfast,Sandwich,Cloudy,Exam,111
Sunday,Dinner,Chapati,Sunny,Holiday,146
Saturday,Breakfast,Idli,Sunny,Holiday,156
Thursday,Snacks,Sandwich,Rainy,No,177
Friday,Dinner,Noodles,Rainy,Exam,103
Monday,Breakfast,Sandwich,Sunny,Sports Meet,196
Monday,Dinner,Chapati,Cloudy,Holiday,48
Sunday,Lunch,Chapati,Sunny,Holiday,146
Tuesday,Dinner,Noodles,Rainy,Festival,144
Monday,Lunch,Noodles,Rainy,No,121
Tuesday,Lunch,Biryani,Cold,Sports Meet,231
Sunday,Dinner,Noodles,Sunny,Festival,242
Wednesday,Snacks,Noodles,Sunny,Exam,82
Thursday,Breakfast,Idli,Sunny,Sports Meet,232
Monday,Lunch,Chapati,Cold,Holiday,107
Friday,Breakfast,Sandwich,Rainy,Holiday,151
Sunday,Lunch,Noodles,Cloudy,Holiday,217
Sunday,Breakfast,Dosa,Cloudy,Holiday,140
Tuesday,Breakfast,Idli,Cold,Sports Meet,167
Thursday,Breakfast,Dosa,Cold,Holiday,112
Saturday,Breakfast,Sandwich,Cloudy,Exam,72
Tuesday,Snacks,Puff,Sunny,Holiday,112
Saturday,Dinner,Noodles,Cloudy,Exam,125
Tuesday,Lunch,Noodles,Cold,Festival,188
Wednesday,Lunch,Biryani,Cold,Exam,124
Tuesday,Breakfast,Sandwich,Cloudy,Sports Meet,204
Sunday,Breakfast,Sandwich,Cloudy,Sports Meet,226
Wednesday,Snacks,Sandwich,Sunny,Holiday,99
Friday,Breakfast,Idli,Sunny,Sports Meet,198
Saturday,Snacks,Sandwich,Cloudy,No,102
Thursday,Dinner,Chapati,Cold,No,111
Friday,Snacks,Samosa,Cold,Exam,175
Saturday,Dinner,Chapati,Sunny,No,186
Saturday,Lunch,Biryani,Rainy,Exam,143
Saturday,Breakfast,Sandwich,Rainy,Sports Meet,208
Tuesday,Snacks,Noodles,Sunny,Exam,104
Thursday,Snacks,Puff,Rainy,Festival,207
Wednesday,Breakfast,Idli,Cold,Holiday,140
Thursday,Dinner,Chapati,Cloudy,No,133
Tuesday,Snacks,Noodles,Rainy,Holiday,129
Sunday,Snacks,Puff,Cold,Exam,95
Tuesday,Lunch,Biryani,Cold,Sports Meet,189
Monday,Lunch,Rice,Rainy,Exam,93
Friday,Dinner,Rice,Cloudy,Holiday,95
Wednesday,Dinner,Rice,Sunny,No,116
Tuesday,Lunch,Rice,Cold,Sports Meet,193
Tuesday,Lunch,Rice,Sunny,Festival,207
Sunday,Dinner,Noodles,Cloudy,Exam,116
Friday,Snacks,Sandwich,Rainy,Holiday,103
Saturday,Dinner,Rice,Cold,No,165
Friday,Dinner,Chapati,Cloudy,Exam,95
Monday,Snacks,Sandwich,Cold,No,162
Tuesday,Lunch,Noodles,Rainy,Exam,50
Monday,Dinner,Chapati,Cloudy,No,82
Wednesday,Breakfast,Dosa,Rainy,No,134
Tuesday,Lunch,Noodles,Cold,Exam,86
Saturday,Lunch,Noodles,Cloudy,No,158
Tuesday,Snacks,Sandwich,Cold,Sports Meet,245
Monday,Snacks,Sandwich,Cloudy,Holiday,77
Sunday,Lunch,Chapati,Rainy,Sports Meet,185
Monday,Lunch,Noodles,Rainy,Festival,152
Sunday,Dinner,Noodles,Cloudy,Exam,103
Thursday,Snacks,Sandwich,Cloudy,Festival,192
Friday,Breakfast,Idli,Sunny,Sports Meet,188
Saturday,Snacks,Noodles,Cloudy,No,127
Friday,Dinner,Chapati,Cloudy,Exam,57
Tuesday,Snacks,Puff,Sunny,Holiday,110
Sunday,Lunch,Biryani,Cloudy,Holiday,210
Friday,Dinner,Chapati,Cloudy,Sports Meet,179
Tuesday,Lunch,Biryani,Cold,Exam,165
Tuesday,Lunch,Noodles,Cold,No,119
Monday,Lunch,Rice,Rainy,Exam,100
Saturday,Dinner,Chapati,Cloudy,Festival,223
Sunday,Snacks,Noodles,Rainy,Exam,137
Thursday,Lunch,Chapati,Cold,Sports Meet,171
Wednesday,Dinner,Rice,Cloudy,No,123
Saturday,Lunch,Chapati,Cold,Sports Meet,152
Wednesday,Snacks,Sandwich,Cloudy,Exam,76
Thursday,Breakfast,Dosa,Sunny,No,157
Tuesday,Lunch,Chapati,Cloudy,Sports Meet,188
Tuesday,Breakfast,Idli,Sunny,Exam,99
Friday,Lunch,Chapati,Cloudy,Holiday,133
Thursday,Breakfast,Dosa,Sunny,No,121
Tuesday,Snacks,Noodles,Cloudy,Sports Meet,196
Tuesday,Breakfast,Dosa,Cloudy,Holiday,175
Thursday,Lunch,Rice,Rainy,Holiday,114
Tuesday,Dinner,Biryani,Sunny,Exam,169
Monday,Lunch,Biryani,Rainy,Festival,267
Friday,Lunch,Noodles,Cold,Sports Meet,189
Tuesday,Breakfast,Idli,Cloudy,No,101
Thursday,Snacks,Noodles,Sunny,Festival,218
Wednesday,Snacks,Samosa,Cold,No,227
Wednesday,Dinner,Rice,Rainy,Exam,81
Monday,Snacks,Noodles,Cold,No,178
Saturday,Lunch,Biryani,Cloudy,Holiday,204
Thursday,Breakfast,Sandwich,Sunny,Sports Meet,200
Friday,Dinner,Noodles,Sunny,Holiday,118
Friday,Dinner,Rice,Sunny,Holiday,95
Saturday,Lunch,Noodles,Cold,Exam,93
Sunday,Lunch,Rice,Rainy,Festival,226
Friday,Lunch,Biryani,Cloudy,No,192
Saturday,Lunch,Rice,Cold,Festival,225
Sunday,Breakfast,Sandwich,Cold,Holiday,142
Tuesday,Dinner,Rice,Cloudy,Exam,57
Tuesday,Lunch,Noodles,Cold,Sports Meet,193
Tuesday,Lunch,Rice,Sunny,Holiday,178
Thursday,Breakfast,Idli,Cloudy,Exam,85
Thursday,Lunch,Rice,Sunny,Holiday,161
Sunday,Lunch,Chapati,Cold,No,128
Monday,Breakfast,Sandwich,Cold,Sports Meet,159
Friday,Snacks,Sandwich,Cold,Festival,279
Thursday,Snacks,Noodles,Rainy,Sports Meet,217
Thursday,Lunch,Biryani,Sunny,No,208
Monday,Lunch,Biryani,Cold,Festival,188
Saturday,Snacks,Samosa,Cloudy,Holiday,148
Wednesday,Snacks,Noodles,Rainy,Sports Meet,205
Tuesday,Snacks,Samosa,Rainy,No,202
Friday,Lunch,Chapati,Rainy,No,70
Monday,Snacks,Samosa,Cloudy,Sports Meet,274
Monday,Lunch,Biryani,Sunny,Exam,192
Sunday,Snacks,Sandwich,Cold,Festival,243
Tuesday,Snacks,Puff,Cloudy,No,114
Monday,Lunch,Biryani,Cold,Holiday,164
Sunday,Lunch,Chapati,Sunny,Sports Meet,207
Monday,Snacks,Sandwich,Cloudy,No,137
Monday,Breakfast,Sandwich,Cold,Festival,184
Saturday,Dinner,Chapati,Rainy,Exam,107
Tuesday,Breakfast,Sandwich,Rainy,Festival,157
Friday,Dinner,Biryani,Rainy,Festival,229
Friday,Dinner,Chapati,Cloudy,Festival,164
Saturday,Lunch,Noodles,Cloudy,Exam,119
Sunday,Dinner,Noodles,Rainy,Exam,117
Thursday,Dinner,Chapati,Rainy,No,105
Wednesday,Dinner,Rice,Rainy,No,89
Friday,Dinner,Rice,Cloudy,Sports Meet,207
Saturday,Breakfast,Idli,Rainy,Festival,175
Wednesday,Lunch,Biryani,Sunny,No,164
Saturday,Breakfast,Sandwich,Cold,Holiday,125
Friday,Lunch,Noodles,Rainy,No,128
Friday,Lunch,Noodles,Cold,Exam,90
Monday,Dinner,Rice,Cloudy,Sports Meet,210
Tuesday,Breakfast,Dosa,Cloudy,Holiday,153
Friday,Snacks,Puff,Sunny,No,74
Saturday,Breakfast,Idli,Rainy,Festival,235
Wednesday,Breakfast,Sandwich,Rainy,Holiday,147
Tuesday,Snacks,Samosa,Sunny,Holiday,132
Sunday,Lunch,Biryani,Rainy,Exam,170
Friday,Lunch,Chapati,Sunny,Festival,176
Sunday,Lunch,Noodles,Cold,Exam,120
Wednesday,Lunch,Chapati,Sunny,Holiday,157
Saturday,Breakfast,Idli,Sunny,Festival,226
Saturday,Dinner,Chapati,Rainy,Festival,189
Friday,Lunch,Noodles,Cloudy,Holiday,168
Thursday,Dinner,Biryani,Cloudy,Holiday,116
Thursday,Lunch,Chapati,Rainy,Festival,170
Friday,Snacks,Sandwich,Rainy,Sports Meet,264
Tuesday,Lunch,Chapati,Sunny,No,107
Friday,Breakfast,Idli,Rainy,Holiday,112
Saturday,Dinner,Rice,Rainy,Exam,83
Monday,Breakfast,Dosa,Sunny,Festival,222
Sunday,Lunch,Chapati,Cloudy,Exam,120
Tuesday,Snacks,Puff,Rainy,Festival,181
Wednesday,Snacks,Samosa,Sunny,Holiday,155
Sunday,Snacks,Samosa,Cold,Festival,302
Wednesday,Breakfast,Idli,Rainy,Sports Meet,222
Tuesday,Lunch,Chapati,Cloudy,Sports Meet,216
Saturday,Lunch,Biryani,Cold,Holiday,231
Sunday,Snacks,Puff,Rainy,Exam,82
Thursday,Breakfast,Idli,Cold,No,108
Monday,Snacks,Noodles,Sunny,Festival,206
Wednesday,Breakfast,Sandwich,Sunny,No,166
Monday,Breakfast,Sandwich,Rainy,Holiday,189
Friday,Snacks,Noodles,Rainy,Sports Meet,216
Sunday,Lunch,Chapati,Rainy,Exam,95
Saturday,Lunch,Rice,Sunny,Sports Meet,249
Tuesday,Lunch,Chapati,Sunny,Holiday,179
Thursday,Lunch,Biryani,Cloudy,Festival,279
Sunday,Dinner,Chapati,Sunny,Holiday,88
Monday,Snacks,Samosa,Rainy,Exam,198
Wednesday,Snacks,Samosa,Rainy,Holiday,195
Wednesday,Dinner,Rice,Rainy,No,106
Thursday,Dinner,Chapati,Cold,No,74
Monday,Dinner,Rice,Cloudy,Exam,109
Wednesday,Breakfast,Sandwich,Rainy,Festival,174
Wednesday,Snacks,Samosa,Cold,Festival,294
Sunday,Dinner,Noodles,Sunny,No,197
Thursday,Dinner,Biryani,Rainy,No,167
Sunday,Dinner,Rice,Rainy,Sports Meet,236
Tuesday,Snacks,Sandwich,Cloudy,Festival,173
Saturday,Lunch,Noodles,Cloudy,Holiday,165
Wednesday,Dinner,Chapati,Sunny,Holiday,110
Friday,Snacks,Samosa,Cloudy,No,169
Friday,Lunch,Biryani,Cloudy,Holiday,210
Monday,Snacks,Sandwich,Cold,Sports Meet,224
Saturday,Dinner,Chapati,Cold,Festival,160
Tuesday,Lunch,Rice,Cloudy,Holiday,185
Monday,Snacks,Samosa,Sunny,Exam,148
Thursday,Dinner,Chapati,Cloudy,Holiday,77
Sunday,Breakfast,Sandwich,Rainy,Festival,133
Sunday,Lunch,Noodles,Cloudy,No,136
Saturday,Snacks,Noodles,Cloudy,Festival,247
Wednesday,Breakfast,Dosa,Sunny,Holiday,153
Wednesday,Lunch,Noodles,Cloudy,Holiday,159
Thursday,Dinner,Noodles,Rainy,Holiday,101
Saturday,Snacks,Samosa,Sunny,No,178
Friday,Lunch,Biryani,Cloudy,Exam,133
Thursday,Dinner,Chapati,Cloudy,No,105
Friday,Snacks,Puff,Sunny,No,85
Sunday,Lunch,Noodles,Rainy,Holiday,149
Wednesday,Lunch,Rice,Rainy,Festival,223
Sunday,Dinner,Rice,Sunny,Exam,129
Friday,Lunch,Chapati,Cloudy,Holiday,165
Tuesday,Snacks,Noodles,Cold,Sports Meet,247
Monday,Snacks,Puff,Cold,No,134
Monday,Snacks,Noodles,Sunny,Sports Meet,226
Sunday,Snacks,Samosa,Cold,Exam,142
Saturday,Lunch,Rice,Sunny,Exam,147
Sunday,Dinner,Noodles,Cold,Exam,76
Monday,Dinner,Chapati,Rainy,Sports Meet,177
Tuesday,Snacks,Sandwich,Rainy,Sports Meet,251
Friday,Lunch,Noodles,Cloudy,Sports Meet,167
Sunday,Snacks,Samosa,Rainy,Festival,315
Monday,Lunch,Chapati,Sunny,Holiday,178
Wednesday,Snacks,Noodles,Rainy,Sports Meet,215
Monday,Snacks,Puff,Sunny,Sports Meet,168
Tuesday,Lunch,Chapati,Cloudy,Sports Meet,168
Wednesday,Snacks,Sandwich,Cloudy,Holiday,86
Tuesday,Dinner,Noodles,Sunny,Sports Meet,177
Wednesday,Snacks,Sandwich,Cold,Festival,243
Thursday,Snacks,Sandwich,Sunny,Holiday,86
Sunday,Snacks,Noodles,Rainy,No,193
Friday,Breakfast,Idli,Rainy,Festival,150
Sunday,Breakfast,Sandwich,Cloudy,Festival,235
Monday,Breakfast,Idli,Rainy,Sports Meet,147
Wednesday,Dinner,Biryani,Rainy,Holiday,154
Saturday,Dinner,Biryani,Sunny,No,248
Sunday,Breakfast,Dosa,Cold,Festival,169
Tuesday,Snacks,Puff,Cold,Festival,218
Monday,Snacks,Samosa,Cloudy,Sports Meet,228
Thursday,Dinner,Chapati,Sunny,Festival,181
Thursday,Snacks,Noodles,Cloudy,Exam,63
Sunday,Breakfast,Dosa,Sunny,Festival,215
Sunday,Lunch,Rice,Sunny,Festival,247
Monday,Breakfast,Idli,Cold,Exam,87
Wednesday,Snacks,Samosa,Sunny,No,200
Friday,Dinner,Biryani,Sunny,Sports Meet,288
Monday,Dinner,Chapati,Rainy,Exam,57
Sunday,Lunch,Biryani,Rainy,Sports Meet,288
Sunday,Lunch,Rice,Rainy,Festival,152
Tuesday,Snacks,Noodles,Cloudy,No,144
Saturday,Snacks,Puff,Sunny,Festival,191
Friday,Breakfast,Sandwich,Cold,Holiday,161
Monday,Breakfast,Dosa,Cold,Sports Meet,177
Wednesday,Lunch,Biryani,Sunny,Festival,311
Friday,Breakfast,Dosa,Cloudy,Sports Meet,186
Friday,Dinner,Chapati,Rainy,No,89
Sunday,Dinner,Biryani,Cloudy,Exam,210
Tuesday,Snacks,Sandwich,Cloudy,Festival,176
Tuesday,Dinner,Noodles,Sunny,Sports Meet,261
Friday,Snacks,Puff,Cloudy,Exam,49
Saturday,Snacks,Puff,Rainy,No,151
Thursday,Breakfast,Dosa,Cold,Sports Meet,169
Friday,Breakfast,Dosa,Cold,No,94
Friday,Snacks,Sandwich,Cloudy,Sports Meet,226
Saturday,Lunch,Biryani,Cloudy,No,168
Wednesday,Lunch,Rice,Cold,Sports Meet,183
Monday,Breakfast,Dosa,Cloudy,No,127
Friday,Dinner,Biryani,Sunny,No,222
Monday,Dinner,Chapati,Cold,No,78
Sunday,Snacks,Sandwich,Cold,Festival,191
Wednesday,Breakfast,Idli,Rainy,Holiday,125
Sunday,Lunch,Biryani,Sunny,Sports Meet,280
Thursday,Lunch,Noodles,Rainy,Sports Meet,164
Thursday,Snacks,Samosa,Rainy,Exam,179
Tuesday,Snacks,Samosa,Sunny,No,163
Wednesday,Snacks,Puff,Cold,Festival,222
Wednesday,Snacks,Samosa,Cold,Festival,318
Sunday,Lunch,Biryani,Cloudy,No,217
Tuesday,Dinner,Chapati,Cold,Sports Meet,151
Friday,Breakfast,Sandwich,Sunny,No,124
Tuesday,Breakfast,Idli,Cloudy,Sports Meet,200
Sunday,Lunch,Chapati,Rainy,No,89
Friday,Snacks,Samosa,Cold,Exam,207
Thursday,Lunch,Rice,Sunny,No,159
Saturday,Snacks,Sandwich,Rainy,Holiday,137
Tuesday,Lunch,Rice,Rainy,Sports Meet,210
Sunday,Snacks,Samosa,Sunny,Festival,281
Tuesday,Breakfast,Dosa,Sunny,Holiday,211
Wednesday,Dinner,Rice,Cold,No,136
Tuesday,Breakfast,Sandwich,Cold,Sports Meet,200
Tuesday,Snacks,Sandwich,Cloudy,Sports Meet,202
Monday,Dinner,Noodles,Cold,No,86
Thursday,Dinner,Biryani,Cloudy,Festival,262
Monday,Breakfast,Idli,Cold,Sports Meet,159
Monday,Dinner,Rice,Sunny,Festival,204
Thursday,Snacks,Puff,Cold,Sports Meet,254
Tuesday,Breakfast,Idli,Cloudy,Festival,236
Thursday,Breakfast,Sandwich,Cloudy,Sports Meet,210
Monday,Snacks,Puff,Cloudy,Festival,149
Friday,Breakfast,Sandwich,Cold,Sports Meet,173
Monday,Snacks,Sandwich,Sunny,No,144
Friday,Snacks,Sandwich,Cold,No,172
Sunday,Lunch,Biryani,Rainy,Holiday,212
Monday,Breakfast,Idli,Sunny,Sports Meet,232
Saturday,Dinner,Biryani,Cloudy,Holiday,169
Friday,Breakfast,Idli,Sunny,No,122
Sunday,Lunch,Rice,Rainy,Exam,83
Thursday,Lunch,Chapati,Cloudy,Exam,74
Monday,Breakfast,Sandwich,Sunny,Holiday,179
Wednesday,Lunch,Biryani,Sunny,Exam,174
Wednesday,Breakfast,Idli,Cloudy,No,119
Friday,Dinner,Chapati,Cold,No,73
Thursday,Dinner,Chapati,Cold,No,67
Tuesday,Breakfast,Sandwich,Rainy,Festival,191
Tuesday,Dinner,Noodles,Sunny,Sports Meet,214
Monday,Lunch,Biryani,Rainy,Holiday,195
Monday,Breakfast,Dosa,Cold,No,111
Tuesday,Dinner,Chapati,Cold,No,85
Thursday,Dinner,Rice,Rainy,Exam,64
Sunday,Dinner,Noodles,Cold,Holiday,121
Tuesday,Breakfast,Dosa,Rainy,Holiday,159
Monday,Dinner,Rice,Cloudy,Festival,192
Sunday,Breakfast,Idli,Cold,Exam,59
Wednesday,Breakfast,Idli,Sunny,Holiday,171
Wednesday,Lunch,Noodles,Sunny,Sports Meet,186
Saturday,Snacks,Noodles,Sunny,Sports Meet,215
Friday,Breakfast,Sandwich,Sunny,Sports Meet,229
Thursday,Snacks,Sandwich,Cloudy,Exam,108
Thursday,Snacks,Samosa,Rainy,Festival,263
Friday,Snacks,Sandwich,Cold,Exam,165
Sunday,Breakfast,Sandwich,Cloudy,Sports Meet,156
Tuesday,Dinner,Rice,Cold,Holiday,108
Tuesday,Lunch,Biryani,Sunny,No,204
Sunday,Breakfast,Idli,Cold,Festival,205
Friday,Snacks,Noodles,Rainy,Festival,220
Thursday,Dinner,Chapati,Cloudy,No,118
Sunday,Lunch,Chapati,Cloudy,Sports Meet,184
Monday,Dinner,Chapati,Sunny,Exam,109
Friday,Dinner,Chapati,Cold,Holiday,58
Wednesday,Snacks,Noodles,Cold,Holiday,125
Friday,Lunch,Rice,Cloudy,No,128
Wednesday,Snacks,Samosa,Cloudy,No,196
Tuesday,Snacks,Sandwich,Rainy,No,197
Saturday,Breakfast,Idli,Rainy,Holiday,159
Monday,Snacks,Noodles,Cold,No,146
Friday,Lunch,Rice,Rainy,Sports Meet,144
Tuesday,Breakfast,Sandwich,Sunny,Sports Meet,230
Monday,Dinner,Rice,Cloudy,Sports Meet,229
Saturday,Dinner,Biryani,Cold,Festival,270
Saturday,Dinner,Chapati,Sunny,Sports Meet,277
Tuesday,Dinner,Biryani,Cold,No,180
Saturday,Dinner,Chapati,Rainy,Sports Meet,164
Monday,Snacks,Sandwich,Rainy,Holiday,168
Sunday,Snacks,Noodles,Cold,Festival,218
Sunday,Dinner,Biryani,Cold,Festival,290
Thursday,Snacks,Samosa,Sunny,Sports Meet,262
Wednesday,Breakfast,Dosa,Sunny,Exam,124
Monday,Breakfast,Dosa,Sunny,No,136
Wednesday,Dinner,Chapati,Rainy,No,87
Monday,Dinner,Noodles,Sunny,Exam,114
Monday,Snacks,Sandwich,Sunny,Exam,75
Wednesday,Dinner,Biryani,Rainy,Sports Meet,220
Saturday,Dinner,Noodles,Sunny,Sports Meet,263
Tuesday,Lunch,Noodles,Cloudy,Sports Meet,211
Thursday,Snacks,Sandwich,Rainy,No,131
Friday,Snacks,Puff,Rainy,Sports Meet,219
Monday,Dinner,Rice,Sunny,Sports Meet,196
Tuesday,Lunch,Biryani,Cold,Sports Meet,225
Sunday,Breakfast,Sandwich,Cloudy,Festival,190
Monday,Dinner,Rice,Cold,No,76
Thursday,Lunch,Rice,Cold,Holiday,146
Sunday,Dinner,Rice,Cloudy,No,155
Tuesday,Snacks,Sandwich,Cloudy,Exam,96
Monday,Breakfast,Sandwich,Sunny,Festival,201
Friday,Snacks,Puff,Sunny,Exam,71
Saturday,Breakfast,Dosa,Cloudy,Sports Meet,202
Wednesday,Breakfast,Idli,Rainy,No,88
Tuesday,Lunch,Rice,Rainy,Sports Meet,183
Thursday,Lunch,Rice,Cold,Holiday,121
Monday,Dinner,Rice,Rainy,Sports Meet,198
Thursday,Lunch,Chapati,Sunny,Holiday,169
Saturday,Dinner,Biryani,Cold,Festival,303
Friday,Lunch,Rice,Cold,Holiday,170
Tuesday,Snacks,Sandwich,Cold,Festival,279
Thursday,Dinner,Noodles,Cloudy,No,115
Saturday,Lunch,Rice,Cloudy,Festival,208
Saturday,Breakfast,Idli,Cloudy,Exam,68
Monday,Lunch,Chapati,Cloudy,No,102
Saturday,Dinner,Rice,Cloudy,Sports Meet,250
Wednesday,Breakfast,Idli,Cold,Sports Meet,179
Tuesday,Dinner,Chapati,Rainy,No,76
Sunday,Lunch,Chapati,Rainy,Sports Meet,188
Tuesday,Snacks,Noodles,Sunny,Sports Meet,221
Tuesday,Breakfast,Sandwich,Rainy,Sports Meet,156
Monday,Breakfast,Idli,Rainy,No,107
Wednesday,Breakfast,Sandwich,Rainy,Sports Meet,172
Wednesday,Breakfast,Dosa,Sunny,No,120
Tuesday,Snacks,Noodles,Rainy,Exam,90
Saturday,Snacks,Noodles,Cloudy,Exam,61
Friday,Snacks,Puff,Cold,Holiday,111
Tuesday,Lunch,Biryani,Cloudy,Sports Meet,277
Sunday,Snacks,Noodles,Sunny,Holiday,90
Tuesday,Breakfast,Dosa,Cold,Exam,102
Monday,Snacks,Samosa,Cold,Sports Meet,259
Wednesday,Dinner,Biryani,Cloudy,Exam,146
Wednesday,Lunch,Rice,Cloudy,Holiday,183
Sunday,Breakfast,Dosa,Rainy,Sports Meet,186
Friday,Breakfast,Dosa,Sunny,No,159
Wednesday,Snacks,Samosa,Cold,Exam,196
Monday,Breakfast,Dosa,Cold,Festival,182
Tuesday,Snacks,Sandwich,Cold,No,162
Thursday,Breakfast,Sandwich,Cold,Festival,148
